name	electrode_name	type	units
ch901	e901	n/a	V
ch902	e902	n/a	V
ch903	e903	n/a	V
ch904	e904	n/a	V
ch905	e905	n/a	V
ch906	e906	n/a	V
ch907	e907	n/a	V
ch908	e908	n/a	V
ch909	e909	n/a	V
ch910	e910	n/a	V
ch911	e911	n/a	V
ch912	e912	n/a	V
ch913	e913	n/a	V
ch914	e914	n/a	V
ch915	e915	n/a	V
ch916	e916	n/a	V
ch917	e917	n/a	V
ch918	e918	n/a	V
ch919	e919	n/a	V
ch920	e920	n/a	V
ch921	e921	n/a	V
ch922	e922	n/a	V
ch923	e923	n/a	V
ch924	e924	n/a	V
ch925	e925	n/a	V
ch926	e926	n/a	V
ch927	e927	n/a	V
ch928	e928	n/a	V
ch929	e929	n/a	V
ch930	e930	n/a	V
ch931	e931	n/a	V
ch932	e932	n/a	V
ch933	e933	n/a	V
ch934	e934	n/a	V
ch935	e935	n/a	V
ch936	e936	n/a	V
ch937	e937	n/a	V
ch938	e938	n/a	V
ch939	e939	n/a	V
ch940	e940	n/a	V
ch941	e941	n/a	V
ch942	e942	n/a	V
ch943	e943	n/a	V
ch944	e944	n/a	V
ch945	e945	n/a	V
ch946	e946	n/a	V
ch947	e947	n/a	V
ch948	e948	n/a	V
ch949	e949	n/a	V
ch950	e950	n/a	V
ch951	e951	n/a	V
ch952	e952	n/a	V
ch953	e953	n/a	V
ch954	e954	n/a	V
ch955	e955	n/a	V
ch956	e956	n/a	V
ch957	e957	n/a	V
ch958	e958	n/a	V
ch959	e959	n/a	V
ch960	e960	n/a	V
ch961	e961	n/a	V
ch962	e962	n/a	V
ch963	e963	n/a	V
ch964	e964	n/a	V
ch965	e965	n/a	V
ch966	e966	n/a	V
ch967	e967	n/a	V
ch968	e968	n/a	V
ch969	e969	n/a	V
ch970	e970	n/a	V
ch971	e971	n/a	V
ch972	e972	n/a	V
ch973	e973	n/a	V
ch974	e974	n/a	V
ch975	e975	n/a	V
ch976	e976	n/a	V
ch977	e977	n/a	V
ch978	e978	n/a	V
ch979	e979	n/a	V
ch980	e980	n/a	V
ch981	e981	n/a	V
ch982	e982	n/a	V
ch983	e983	n/a	V
ch984	e984	n/a	V
ch985	e985	n/a	V
ch986	e986	n/a	V
ch987	e987	n/a	V
ch988	e988	n/a	V
ch989	e989	n/a	V
ch990	e990	n/a	V
ch991	e991	n/a	V
ch992	e992	n/a	V
ch993	e993	n/a	V
ch994	e994	n/a	V
ch995	e995	n/a	V
ch996	e996	n/a	V
ch997	e997	n/a	V
ch998	e998	n/a	V
ch999	e999	n/a	V
ch1000	e1000	n/a	V
ch1001	e1001	n/a	V
ch1002	e1002	n/a	V
ch1003	e1003	n/a	V
ch1004	e1004	n/a	V
ch1005	e1005	n/a	V
ch1006	e1006	n/a	V
ch1007	e1007	n/a	V
ch1008	e1008	n/a	V
ch1009	e1009	n/a	V
ch1010	e1010	n/a	V
ch1011	e1011	n/a	V
ch1012	e1012	n/a	V
ch1013	e1013	n/a	V
ch1014	e1014	n/a	V
ch1015	e1015	n/a	V
ch1016	e1016	n/a	V
ch1017	e1017	n/a	V
ch1018	e1018	n/a	V
ch1019	e1019	n/a	V
ch1020	e1020	n/a	V
ch1021	e1021	n/a	V
ch1022	e1022	n/a	V
ch1023	e1023	n/a	V
ch1024	e1024	n/a	V
ch1025	e1025	n/a	V
ch1026	e1026	n/a	V
ch1027	e1027	n/a	V
ch1028	e1028	n/a	V
ch1029	e1029	n/a	V
ch1030	e1030	n/a	V
ch1031	e1031	n/a	V
ch1032	e1032	n/a	V
ch1033	e1033	n/a	V
ch1034	e1034	n/a	V
ch1035	e1035	n/a	V
ch1036	e1036	n/a	V
ch1037	e1037	n/a	V
ch1038	e1038	n/a	V
ch1039	e1039	n/a	V
ch1040	e1040	n/a	V
ch1041	e1041	n/a	V
ch1042	e1042	n/a	V
ch1043	e1043	n/a	V
ch1044	e1044	n/a	V
ch1045	e1045	n/a	V
ch1046	e1046	n/a	V
ch1047	e1047	n/a	V
ch1048	e1048	n/a	V
ch1049	e1049	n/a	V
ch1050	e1050	n/a	V
ch1051	e1051	n/a	V
ch1052	e1052	n/a	V
ch1053	e1053	n/a	V
ch1054	e1054	n/a	V
ch1055	e1055	n/a	V
ch1056	e1056	n/a	V
ch1057	e1057	n/a	V
ch1058	e1058	n/a	V
ch1059	e1059	n/a	V
